dimension,response_reversed,model,relative_frequency
Agreeableness,1.0,bbc_relative_frequency,0.03697008060761198
Agreeableness,2.0,bbc_relative_frequency,0.1486252127078017
Agreeableness,3.0,bbc_relative_frequency,0.1578748910306136
Agreeableness,4.0,bbc_relative_frequency,0.36863170571944465
Agreeableness,5.0,bbc_relative_frequency,0.2878981099345281
Conscientiousness,1.0,bbc_relative_frequency,0.053783192438504705
Conscientiousness,2.0,bbc_relative_frequency,0.1680227546139367
Conscientiousness,3.0,bbc_relative_frequency,0.1735325639510989
Conscientiousness,4.0,bbc_relative_frequency,0.3335985160340826
Conscientiousness,5.0,bbc_relative_frequency,0.2710629729623771
Extraversion,1.0,bbc_relative_frequency,0.08423625399921503
Extraversion,2.0,bbc_relative_frequency,0.23083201512862903
Extraversion,3.0,bbc_relative_frequency,0.2211580775223302
Extraversion,4.0,bbc_relative_frequency,0.301502654249773
Extraversion,5.0,bbc_relative_frequency,0.16227099910005272
Neuroticism,1.0,bbc_relative_frequency,0.1401018684808335
Neuroticism,2.0,bbc_relative_frequency,0.24527527682298791
Neuroticism,3.0,bbc_relative_frequency,0.20059705752922846
Neuroticism,4.0,bbc_relative_frequency,0.2943689863104937
Neuroticism,5.0,bbc_relative_frequency,0.11965681085645642
Openness,1.0,bbc_relative_frequency,0.045663007409698024
Openness,2.0,bbc_relative_frequency,0.1264703433675472
Openness,3.0,bbc_relative_frequency,0.19595816632769975
Openness,4.0,bbc_relative_frequency,0.3512874796322506
Openness,5.0,bbc_relative_frequency,0.2806210032628044
Agreeableness,1.0,generic_gpt35_relative_frequency,0.006671608598962194
Agreeableness,2.0,generic_gpt35_relative_frequency,0.025203854707190512
Agreeableness,3.0,generic_gpt35_relative_frequency,0.6671608598962194
Agreeableness,4.0,generic_gpt35_relative_frequency,0.2357301704966642
Agreeableness,5.0,generic_gpt35_relative_frequency,0.06523350630096368
Conscientiousness,1.0,generic_gpt35_relative_frequency,0.0066815144766146995
Conscientiousness,2.0,generic_gpt35_relative_frequency,0.05493689680772086
Conscientiousness,3.0,generic_gpt35_relative_frequency,0.5426874536005939
Conscientiousness,4.0,generic_gpt35_relative_frequency,0.2739420935412027
Conscientiousness,5.0,generic_gpt35_relative_frequency,0.12175204157386786
Extraversion,1.0,generic_gpt35_relative_frequency,0.013344453711426188
Extraversion,2.0,generic_gpt35_relative_frequency,0.08340283569641367
Extraversion,3.0,generic_gpt35_relative_frequency,0.737281067556297
Extraversion,4.0,generic_gpt35_relative_frequency,0.13761467889908258
Extraversion,5.0,generic_gpt35_relative_frequency,0.02835696413678065
Neuroticism,1.0,generic_gpt35_relative_frequency,0.028404344193817876
Neuroticism,2.0,generic_gpt35_relative_frequency,0.18880534670008353
Neuroticism,3.0,generic_gpt35_relative_frequency,0.7218045112781954
Neuroticism,4.0,generic_gpt35_relative_frequency,0.05012531328320802
Neuroticism,5.0,generic_gpt35_relative_frequency,0.01086048454469507
Openness,1.0,generic_gpt35_relative_frequency,0.018679119412941963
Openness,2.0,generic_gpt35_relative_frequency,0.04469646430953969
Openness,3.0,generic_gpt35_relative_frequency,0.6477651767845231
Openness,4.0,generic_gpt35_relative_frequency,0.20613742494996665
Openness,5.0,generic_gpt35_relative_frequency,0.08272181454302868
Agreeableness,1.0,generic_gpt4_relative_frequency,0.02669717772692601
Agreeableness,2.0,generic_gpt4_relative_frequency,0.033562166285278416
Agreeableness,3.0,generic_gpt4_relative_frequency,0.2448512585812357
Agreeableness,4.0,generic_gpt4_relative_frequency,0.40427154843630814
Agreeableness,5.0,generic_gpt4_relative_frequency,0.2906178489702517
Conscientiousness,1.0,generic_gpt4_relative_frequency,0.006741573033707865
Conscientiousness,2.0,generic_gpt4_relative_frequency,0.04719101123595506
Conscientiousness,3.0,generic_gpt4_relative_frequency,0.2389513108614232
Conscientiousness,4.0,generic_gpt4_relative_frequency,0.4037453183520599
Conscientiousness,5.0,generic_gpt4_relative_frequency,0.30337078651685395
Extraversion,1.0,generic_gpt4_relative_frequency,0.0270042194092827
Extraversion,2.0,generic_gpt4_relative_frequency,0.09282700421940929
Extraversion,3.0,generic_gpt4_relative_frequency,0.36540084388185656
Extraversion,4.0,generic_gpt4_relative_frequency,0.3670886075949367
Extraversion,5.0,generic_gpt4_relative_frequency,0.14767932489451477
Neuroticism,1.0,generic_gpt4_relative_frequency,0.09564474807856532
Neuroticism,2.0,generic_gpt4_relative_frequency,0.36891545687446625
Neuroticism,3.0,generic_gpt4_relative_frequency,0.39709649871904357
Neuroticism,4.0,generic_gpt4_relative_frequency,0.12040990606319385
Neuroticism,5.0,generic_gpt4_relative_frequency,0.017933390264730998
Openness,1.0,generic_gpt4_relative_frequency,0.009421265141318977
Openness,2.0,generic_gpt4_relative_frequency,0.07738896366083446
Openness,3.0,generic_gpt4_relative_frequency,0.2819650067294751
Openness,4.0,generic_gpt4_relative_frequency,0.4266487213997308
Openness,5.0,generic_gpt4_relative_frequency,0.20457604306864063
Agreeableness,1.0,silicon_gpt35_relative_frequency,0.0
Agreeableness,2.0,silicon_gpt35_relative_frequency,0.0
Agreeableness,3.0,silicon_gpt35_relative_frequency,0.1556420233463035
Agreeableness,4.0,silicon_gpt35_relative_frequency,0.6290161200667037
Agreeableness,5.0,silicon_gpt35_relative_frequency,0.21534185658699279
Conscientiousness,1.0,silicon_gpt35_relative_frequency,0.0
Conscientiousness,2.0,silicon_gpt35_relative_frequency,0.003115264797507788
Conscientiousness,3.0,silicon_gpt35_relative_frequency,0.19937694704049844
Conscientiousness,4.0,silicon_gpt35_relative_frequency,0.5586337338673787
Conscientiousness,5.0,silicon_gpt35_relative_frequency,0.23887405429461503
Extraversion,1.0,silicon_gpt35_relative_frequency,0.0
Extraversion,2.0,silicon_gpt35_relative_frequency,0.1132665832290363
Extraversion,3.0,silicon_gpt35_relative_frequency,0.3191489361702128
Extraversion,4.0,silicon_gpt35_relative_frequency,0.5672090112640801
Extraversion,5.0,silicon_gpt35_relative_frequency,0.0003754693366708385
Neuroticism,1.0,silicon_gpt35_relative_frequency,0.031399747793190415
Neuroticism,2.0,silicon_gpt35_relative_frequency,0.4128625472887768
Neuroticism,3.0,silicon_gpt35_relative_frequency,0.4998738965952081
Neuroticism,4.0,silicon_gpt35_relative_frequency,0.05586380832282472
Neuroticism,5.0,silicon_gpt35_relative_frequency,0.0
Openness,1.0,silicon_gpt35_relative_frequency,0.0009006304413089162
Openness,2.0,silicon_gpt35_relative_frequency,0.008305814069848894
Openness,3.0,silicon_gpt35_relative_frequency,0.30211147803462424
Openness,4.0,silicon_gpt35_relative_frequency,0.6669668768137696
Openness,5.0,silicon_gpt35_relative_frequency,0.021715200640448313
Agreeableness,1.0,silicon_gpt4_relative_frequency,0.0006669630947087594
Agreeableness,2.0,silicon_gpt4_relative_frequency,0.0
Agreeableness,3.0,silicon_gpt4_relative_frequency,0.26345042240996
Agreeableness,4.0,silicon_gpt4_relative_frequency,0.5812583370386839
Agreeableness,5.0,silicon_gpt4_relative_frequency,0.1546242774566474
Conscientiousness,1.0,silicon_gpt4_relative_frequency,0.0006668889629876625
Conscientiousness,2.0,silicon_gpt4_relative_frequency,0.0034455929754362564
Conscientiousness,3.0,silicon_gpt4_relative_frequency,0.2550850283427809
Conscientiousness,4.0,silicon_gpt4_relative_frequency,0.5086139824385907
Conscientiousness,5.0,silicon_gpt4_relative_frequency,0.23218850728020451
Extraversion,1.0,silicon_gpt4_relative_frequency,0.00037518759379689845
Extraversion,2.0,silicon_gpt4_relative_frequency,0.09729864932466233
Extraversion,3.0,silicon_gpt4_relative_frequency,0.4521010505252626
Extraversion,4.0,silicon_gpt4_relative_frequency,0.4465982991495748
Extraversion,5.0,silicon_gpt4_relative_frequency,0.0036268134067033516
Neuroticism,1.0,silicon_gpt4_relative_frequency,0.0231095134163564
Neuroticism,2.0,silicon_gpt4_relative_frequency,0.37321864167415586
Neuroticism,3.0,silicon_gpt4_relative_frequency,0.5521889844652715
Neuroticism,4.0,silicon_gpt4_relative_frequency,0.05007061240210554
Neuroticism,5.0,silicon_gpt4_relative_frequency,0.001412248042110669
Openness,1.0,silicon_gpt4_relative_frequency,0.0007003501750875437
Openness,2.0,silicon_gpt4_relative_frequency,0.02831415707853927
Openness,3.0,silicon_gpt4_relative_frequency,0.38299149574787394
Openness,4.0,silicon_gpt4_relative_frequency,0.5548774387193597
Openness,5.0,silicon_gpt4_relative_frequency,0.03311655827913957
