first_token_is_digit,response_reversed,model,relative_frequency
False,1.0,generic_gpt35_relative_frequency,0.044171371637329794
False,2.0,generic_gpt35_relative_frequency,0.17768183327798073
False,3.0,generic_gpt35_relative_frequency,0.18382597143806045
False,4.0,generic_gpt35_relative_frequency,0.5317170375290601
False,5.0,generic_gpt35_relative_frequency,0.06260378611756891
True,1.0,generic_gpt35_relative_frequency,0.06633829385872983
True,2.0,generic_gpt35_relative_frequency,0.07587507859987425
True,3.0,generic_gpt35_relative_frequency,0.7094948648082163
True,4.0,generic_gpt35_relative_frequency,0.1252357996227206
True,5.0,generic_gpt35_relative_frequency,0.023055963110459023
False,1.0,generic_gpt4_relative_frequency,0.11206427015250545
False,2.0,generic_gpt4_relative_frequency,0.18273420479302832
False,3.0,generic_gpt4_relative_frequency,0.29132625272331153
False,4.0,generic_gpt4_relative_frequency,0.2918028322440087
False,5.0,generic_gpt4_relative_frequency,0.12207244008714598
True,1.0,generic_gpt4_relative_frequency,0.17045454545454544
True,2.0,generic_gpt4_relative_frequency,0.045454545454545456
True,3.0,generic_gpt4_relative_frequency,0.03409090909090909
True,4.0,generic_gpt4_relative_frequency,0.6909090909090909
True,5.0,generic_gpt4_relative_frequency,0.05909090909090909
False,1.0,silicon_gpt35_relative_frequency,0.03171916224987742
False,2.0,silicon_gpt35_relative_frequency,0.15982161619463447
False,3.0,silicon_gpt35_relative_frequency,0.21571832169791497
False,4.0,silicon_gpt35_relative_frequency,0.5366107076980551
False,5.0,silicon_gpt35_relative_frequency,0.05613019215951808
True,1.0,silicon_gpt35_relative_frequency,0.20426862723581696
True,2.0,silicon_gpt35_relative_frequency,0.10260068034675739
True,3.0,silicon_gpt35_relative_frequency,0.6844617579282344
True,4.0,silicon_gpt35_relative_frequency,0.008668934489191265
True,5.0,silicon_gpt35_relative_frequency,0.0
False,1.0,silicon_gpt4_relative_frequency,0.08452252870029912
False,2.0,silicon_gpt4_relative_frequency,0.18322081791418876
False,3.0,silicon_gpt4_relative_frequency,0.3616060344521819
False,4.0,silicon_gpt4_relative_frequency,0.3233586739338622
False,5.0,silicon_gpt4_relative_frequency,0.04729194499946796
True,1.0,silicon_gpt4_relative_frequency,0.04565610116603712
True,2.0,silicon_gpt4_relative_frequency,0.06831992116932173
True,3.0,silicon_gpt4_relative_frequency,0.2947938906224339
True,4.0,silicon_gpt4_relative_frequency,0.5817594569442164
True,5.0,silicon_gpt4_relative_frequency,0.009470630097990913
