uid,scale,item_index,dimension,response_reversed
76,BFI,1,Extraversion,3.0
76,BFI,2,Agreeableness,3.0
76,BFI,3,Conscientiousness,4.0
76,BFI,4,Neuroticism,3.0
76,BFI,5,Openness,4.0
76,BFI,6,Extraversion,3.0
76,BFI,7,Agreeableness,4.0
76,BFI,8,Conscientiousness,4.0
76,BFI,9,Neuroticism,2.0
76,BFI,10,Openness,5.0
76,BFI,11,Extraversion,3.0
76,BFI,12,Agreeableness,3.0
76,BFI,13,Conscientiousness,5.0
76,BFI,14,Neuroticism,3.0
76,BFI,15,Openness,3.0
76,BFI,16,Extraversion,4.0
76,BFI,17,Agreeableness,4.0
76,BFI,18,Conscientiousness,3.0
76,BFI,19,Neuroticism,3.0
76,BFI,20,Openness,5.0
76,BFI,21,Extraversion,3.0
76,BFI,22,Agreeableness,4.0
76,BFI,23,Conscientiousness,3.0
76,BFI,24,Neuroticism,2.0
76,BFI,25,Openness,4.0
76,BFI,26,Extraversion,3.0
76,BFI,27,Agreeableness,3.0
76,BFI,28,Conscientiousness,5.0
76,BFI,29,Neuroticism,3.0
76,BFI,30,Openness,5.0
76,BFI,31,Extraversion,3.0
76,BFI,32,Agreeableness,4.0
76,BFI,33,Conscientiousness,3.0
76,BFI,34,Neuroticism,2.0
76,BFI,35,Openness,3.0
76,BFI,36,Extraversion,3.0
76,BFI,37,Agreeableness,3.0
76,BFI,38,Conscientiousness,4.0
76,BFI,39,Neuroticism,3.0
76,BFI,40,Openness,3.0
76,BFI,41,Openness,1.0
76,BFI,42,Agreeableness,3.0
76,BFI,43,Conscientiousness,3.0
76,BFI,44,Openness,3.0
76,PANAS,1,Positive,4.0
76,PANAS,2,Negative,1.0
76,PANAS,3,Positive,4.0
76,PANAS,4,Negative,1.0
76,PANAS,5,Positive,4.0
76,PANAS,6,Negative,2.0
76,PANAS,7,Negative,1.0
76,PANAS,8,Negative,1.0
76,PANAS,9,Positive,4.0
76,PANAS,10,Positive,4.0
76,PANAS,11,Negative,1.0
76,PANAS,12,Positive,4.0
76,PANAS,13,Negative,1.0
76,PANAS,14,Positive,4.0
76,PANAS,15,Negative,1.0
76,PANAS,16,Positive,4.0
76,PANAS,17,Positive,4.0
76,PANAS,18,Negative,1.0
76,PANAS,19,Positive,4.0
76,PANAS,20,Negative,1.0
76,BPAQ,1,Physical,1.0
76,BPAQ,2,Physical,1.0
76,BPAQ,3,Physical,3.0
76,BPAQ,4,Physical,2.0
76,BPAQ,5,Physical,2.0
76,BPAQ,6,Physical,1.0
76,BPAQ,7,Physical,1.0
76,BPAQ,8,Physical,1.0
76,BPAQ,9,Physical,1.0
76,BPAQ,10,Verbal,4.0
