var1,var2,model,r
Agreeableness,Agreeableness,bbc,
Agreeableness,Conscientiousness,bbc,0.24948499572831598
Agreeableness,Extraversion,bbc,0.13303288522357554
Agreeableness,Neuroticism,bbc,-0.2941522055944532
Agreeableness,Openness,bbc,0.04266421035613908
Conscientiousness,Agreeableness,bbc,0.24948499572831598
Conscientiousness,Conscientiousness,bbc,
Conscientiousness,Extraversion,bbc,0.1099459673473677
Conscientiousness,Neuroticism,bbc,-0.2097256074649461
Conscientiousness,Openness,bbc,-0.04600601459495193
Extraversion,Agreeableness,bbc,0.13303288522357554
Extraversion,Conscientiousness,bbc,0.1099459673473677
Extraversion,Extraversion,bbc,
Extraversion,Neuroticism,bbc,-0.33497945303802895
Extraversion,Openness,bbc,0.19466693634976223
Neuroticism,Agreeableness,bbc,-0.2941522055944532
Neuroticism,Conscientiousness,bbc,-0.2097256074649461
Neuroticism,Extraversion,bbc,-0.33497945303802895
Neuroticism,Neuroticism,bbc,
Neuroticism,Openness,bbc,-0.07490202051152894
Openness,Agreeableness,bbc,0.04266421035613908
Openness,Conscientiousness,bbc,-0.04600601459495193
Openness,Extraversion,bbc,0.19466693634976223
Openness,Neuroticism,bbc,-0.07490202051152894
Openness,Openness,bbc,
Agreeableness,Agreeableness,generic_gpt35,
Agreeableness,Conscientiousness,generic_gpt35,0.7232764453524478
Agreeableness,Extraversion,generic_gpt35,0.29051032612734273
Agreeableness,Neuroticism,generic_gpt35,-0.6602540121411496
Agreeableness,Openness,generic_gpt35,0.32804928705731284
Conscientiousness,Agreeableness,generic_gpt35,0.7232764453524478
Conscientiousness,Conscientiousness,generic_gpt35,
Conscientiousness,Extraversion,generic_gpt35,0.4211119035800159
Conscientiousness,Neuroticism,generic_gpt35,-0.6712022893197885
Conscientiousness,Openness,generic_gpt35,0.39469435669241526
Extraversion,Agreeableness,generic_gpt35,0.29051032612734273
Extraversion,Conscientiousness,generic_gpt35,0.4211119035800159
Extraversion,Extraversion,generic_gpt35,
Extraversion,Neuroticism,generic_gpt35,-0.37056665005684297
Extraversion,Openness,generic_gpt35,0.3751821691480858
Neuroticism,Agreeableness,generic_gpt35,-0.6602540121411496
Neuroticism,Conscientiousness,generic_gpt35,-0.6712022893197885
Neuroticism,Extraversion,generic_gpt35,-0.37056665005684297
Neuroticism,Neuroticism,generic_gpt35,
Neuroticism,Openness,generic_gpt35,-0.33399871168532025
Openness,Agreeableness,generic_gpt35,0.32804928705731284
Openness,Conscientiousness,generic_gpt35,0.39469435669241526
Openness,Extraversion,generic_gpt35,0.3751821691480858
Openness,Neuroticism,generic_gpt35,-0.33399871168532025
Openness,Openness,generic_gpt35,
Agreeableness,Agreeableness,generic_gpt4,
Agreeableness,Conscientiousness,generic_gpt4,0.5614721794909877
Agreeableness,Extraversion,generic_gpt4,0.33852885312447967
Agreeableness,Neuroticism,generic_gpt4,-0.3926064928652073
Agreeableness,Openness,generic_gpt4,0.29193004455142313
Conscientiousness,Agreeableness,generic_gpt4,0.5614721794909877
Conscientiousness,Conscientiousness,generic_gpt4,
Conscientiousness,Extraversion,generic_gpt4,0.3980479202232532
Conscientiousness,Neuroticism,generic_gpt4,-0.4869457021255095
Conscientiousness,Openness,generic_gpt4,0.3899192169985132
Extraversion,Agreeableness,generic_gpt4,0.33852885312447967
Extraversion,Conscientiousness,generic_gpt4,0.3980479202232532
Extraversion,Extraversion,generic_gpt4,
Extraversion,Neuroticism,generic_gpt4,-0.4677966377607241
Extraversion,Openness,generic_gpt4,0.2329713605073983
Neuroticism,Agreeableness,generic_gpt4,-0.3926064928652073
Neuroticism,Conscientiousness,generic_gpt4,-0.4869457021255095
Neuroticism,Extraversion,generic_gpt4,-0.4677966377607241
Neuroticism,Neuroticism,generic_gpt4,
Neuroticism,Openness,generic_gpt4,-0.11468599259615975
Openness,Agreeableness,generic_gpt4,0.29193004455142313
Openness,Conscientiousness,generic_gpt4,0.3899192169985132
Openness,Extraversion,generic_gpt4,0.2329713605073983
Openness,Neuroticism,generic_gpt4,-0.11468599259615975
Openness,Openness,generic_gpt4,
Agreeableness,Agreeableness,silicon_gpt35,
Agreeableness,Conscientiousness,silicon_gpt35,0.515692490500874
Agreeableness,Extraversion,silicon_gpt35,-0.02913381743045239
Agreeableness,Neuroticism,silicon_gpt35,-0.2289205181645727
Agreeableness,Openness,silicon_gpt35,-0.07628671747426122
Conscientiousness,Agreeableness,silicon_gpt35,0.515692490500874
Conscientiousness,Conscientiousness,silicon_gpt35,
Conscientiousness,Extraversion,silicon_gpt35,0.09980350905309718
Conscientiousness,Neuroticism,silicon_gpt35,-0.4965666941114853
Conscientiousness,Openness,silicon_gpt35,0.0800151870587744
Extraversion,Agreeableness,silicon_gpt35,-0.02913381743045239
Extraversion,Conscientiousness,silicon_gpt35,0.09980350905309718
Extraversion,Extraversion,silicon_gpt35,
Extraversion,Neuroticism,silicon_gpt35,-0.2692781085576162
Extraversion,Openness,silicon_gpt35,0.47802186872464364
Neuroticism,Agreeableness,silicon_gpt35,-0.2289205181645727
Neuroticism,Conscientiousness,silicon_gpt35,-0.4965666941114853
Neuroticism,Extraversion,silicon_gpt35,-0.2692781085576162
Neuroticism,Neuroticism,silicon_gpt35,
Neuroticism,Openness,silicon_gpt35,-0.18693308642324713
Openness,Agreeableness,silicon_gpt35,-0.07628671747426122
Openness,Conscientiousness,silicon_gpt35,0.0800151870587744
Openness,Extraversion,silicon_gpt35,0.47802186872464364
Openness,Neuroticism,silicon_gpt35,-0.18693308642324713
Openness,Openness,silicon_gpt35,
Agreeableness,Agreeableness,silicon_gpt4,
Agreeableness,Conscientiousness,silicon_gpt4,0.44419633185841606
Agreeableness,Extraversion,silicon_gpt4,0.24055206300843718
Agreeableness,Neuroticism,silicon_gpt4,-0.07369776484063163
Agreeableness,Openness,silicon_gpt4,0.2154943191364178
Conscientiousness,Agreeableness,silicon_gpt4,0.44419633185841606
Conscientiousness,Conscientiousness,silicon_gpt4,
Conscientiousness,Extraversion,silicon_gpt4,0.47558009080516284
Conscientiousness,Neuroticism,silicon_gpt4,-0.33198088086558364
Conscientiousness,Openness,silicon_gpt4,0.2871012802270999
Extraversion,Agreeableness,silicon_gpt4,0.24055206300843718
Extraversion,Conscientiousness,silicon_gpt4,0.47558009080516284
Extraversion,Extraversion,silicon_gpt4,
Extraversion,Neuroticism,silicon_gpt4,-0.37908099012422225
Extraversion,Openness,silicon_gpt4,0.50407849822363
Neuroticism,Agreeableness,silicon_gpt4,-0.07369776484063163
Neuroticism,Conscientiousness,silicon_gpt4,-0.33198088086558364
Neuroticism,Extraversion,silicon_gpt4,-0.37908099012422225
Neuroticism,Neuroticism,silicon_gpt4,
Neuroticism,Openness,silicon_gpt4,-0.19746531719784735
Openness,Agreeableness,silicon_gpt4,0.2154943191364178
Openness,Conscientiousness,silicon_gpt4,0.2871012802270999
Openness,Extraversion,silicon_gpt4,0.50407849822363
Openness,Neuroticism,silicon_gpt4,-0.19746531719784735
Openness,Openness,silicon_gpt4,
