uid,item_index,dimension,response_reversed
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,1,Extraversion,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,2,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,3,Conscientiousness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,4,Neuroticism,1.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,5,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,6,Extraversion,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,7,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,8,Conscientiousness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,9,Neuroticism,2.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,10,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,11,Extraversion,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,12,Agreeableness,5.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,13,Conscientiousness,5.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,14,Neuroticism,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,15,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,16,Extraversion,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,17,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,18,Conscientiousness,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,19,Neuroticism,2.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,20,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,21,Extraversion,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,22,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,23,Conscientiousness,5.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,24,Neuroticism,2.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,25,Openness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,26,Extraversion,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,27,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,28,Conscientiousness,5.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,29,Neuroticism,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,30,Openness,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,31,Extraversion,3.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,32,Agreeableness,4.0
e1df2ed9e02e998d7e3efa037a4926a7abaddb6e,33,Conscientiousness,5.0
